,film_name,genres,actors,duration
0,Uncut Gems (2019) ,"['Crime', 'Drama', 'Thriller']","['Mesfin Lamengo', 'Sun Zhi Hua-Hilton', 'Liang Wei-Hui-Duncan', 'Sunny Wu Jin Zahao', 'Deneke Muhugeta', 'Habtunu Africho', 'Warren Finkelstein', 'Adam Sandler', 'Keith William Richards', 'Tommy Kominik', 'LaKeith Stanfield', 'Maksud Agadjani', 'Ca$h Out', 'Andrea Linsky', 'Roman Persits']","
                        2h 15min
                    "
1,Gisaengchung (2019) ,"['Comedy', 'Drama', 'Thriller']","['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Jo', 'Woo-sik Choi', 'So-dam Park', 'Jeong-eun Lee', 'Hye-jin Jang', 'Myeong-hoon Park', 'Ji-so Jung', 'Hyun-jun Jung', 'Keun-rok Park', 'Jeong Esuz', 'Jo Jae-Myeong', 'Ik-han Jung', 'Kim Gyu Baek']","
                        2h 12min
                    "
2,The Wolf of Wall Street (2013) ,"['Biography', 'Crime', 'Drama']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne']","
                        3h
                    "
3,The Irishman (2019) ,"['Biography', 'Crime', 'Drama']","['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel', 'Ray Romano', 'Bobby Cannavale', 'Anna Paquin', 'Stephen Graham', 'Stephanie Kurtzuba', 'Jack Huston', 'Kathrine Narducci', 'Jesse Plemons', 'Domenick Lombardozzi', 'Paul Herman', 'Gary Basaraba']","
                        3h 29min
                    "
4,Ford v Ferrari (2019) ,"['Action', 'Biography', 'Drama']","['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe', 'Josh Lucas', 'Noah Jupe', 'Tracy Letts', 'Remo Girone', 'Ray McKinnon', 'JJ Feild', 'Jack McMullen', 'Corrado Invernizzi', 'Joe Williamson', 'Ian Harding', 'Christopher Darga']","
                        2h 32min
                    "
5,Once Upon a Time... in Hollywood (2019) ,"['Comedy', 'Drama']","['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch', 'Margaret Qualley', 'Timothy Olyphant', 'Julia Butters', 'Austin Butler', 'Dakota Fanning', 'Bruce Dern', 'Mike Moh', 'Luke Perry', 'Damian Lewis', 'Al Pacino', 'Nicholas Hammond']","
                        2h 41min
                    "
6,Marriage Story (2019) ,"['Comedy', 'Drama', 'Romance']","['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson', 'Wallace Shawn', 'Matthew Maher', 'Eric Berryman', 'Mickey Sumner', 'David Turner', 'Gideon Glick', 'Jasmine Cephas Jones', 'Motell Gyn Foster', 'Raymond J. Lee', 'Mary Wiseman', 'Pete Simpson']","
                        2h 17min
                    "
